Object,Parameter,mfreq,mfreq_err,compton,compton_err,mfreq_thesis,mfreq_thesis_err,diff_mfreq_vs_compton,diff_mfreq_thesis_vs_compton,diff_mfreq_vs_mfreq_thesis
A401,RA,44.741099,0.00168,44.751,0.002,44.741103,0.001664,-0.009900999999999271,-0.00989699999999516,-4.0000000041118255e-06
A401,DEC,13.579199,0.002345,13.572,0.002,13.580485,0.002196,0.0071989999999999554,0.008485000000000298,-0.0012860000000003424
A401,beta,1.233213,0.090951,0.82,0.05,1.241324,0.093682,0.41321299999999994,0.42132400000000014,-0.008111000000000201
A401,rc,4.503259,0.490921,2.6,0.35,4.362164,0.493953,1.9032589999999998,1.7621639999999998,0.14109499999999997
A401,e,0.7840111894,0.091671,0.82,0.055,0.7997754231,0.091367,-0.03598881059999992,-0.020224576899999902,-0.01576423370000002
A401,theta,106.909943,6.617566,123.0,8.5,109.403005,7.142419,-16.090057,-13.596995000000007,-2.493061999999995
A401,y,0.0001235,8.702e-06,0.000126,6e-06,0.0001226,8.499e-06,-2.5000000000000066e-06,-3.4000000000000013e-06,8.999999999999948e-07
A401,T,8.43572,0.248133,,,,,,,
A401,tau,0.007479,0.000479,,,,,,,
A401,Ad,31833.60277,166803.9952,,,,,,,
A399,RA,44.465503,0.003131,44.473,0.004,44.465185,0.003391,-0.007497000000000753,-0.007815000000000794,0.00031800000000004047
A399,DEC,13.040406,0.003573,13.03,0.003,13.039259,0.003643,0.01040600000000147,0.009259000000000128,0.0011470000000013414
A399,beta,0.994854,0.065895,0.81,0.095,1.177231,0.185405,0.18485399999999996,0.36723099999999986,-0.1823769999999999
A399,rc,4.235017,0.537638,3.0,0.65,4.632751,0.807585,1.235017,1.6327509999999998,-0.3977339999999998
A399,e,0.8771899046,0.106025,0.93,0.06,1.019972,0.120056,-0.052810095400000034,0.08997200000000005,-0.1427820954000001
A399,theta,113.088461,20.457565,133.0,26.5,116.298848,56.800183,-19.911539000000005,-16.701151999999993,-3.2103870000000114
A399,y,8.968e-05,6.623e-06,8.1e-05,6e-06,8.249e-05,7.828e-06,8.679999999999991e-06,1.490000000000001e-06,7.1899999999999905e-06
A399,T,7.224533,0.189161,,,,,,,
A399,tau,0.006343,0.000438,,,,,,,
A399,Ad,6560.780217,172281.3038,,,,,,,
Filament,RA,44.669681,0.023178,,,44.659867,0.021525,,,0.009813999999998657
Filament,DEC,13.348543,0.03862,,,13.345221,0.034097,,,0.003321999999998937
Filament,L,15.299649,2.419319,,,15.965661,2.49665,,,-0.6660120000000003
Filament,W,12.312364,1.146174,,,13.135884,0.982828,,,-0.8235200000000003
Filament,y,1.454e-05,2.123e-06,1.1e-05,1.75e-06,1.843e-05,2.267e-06,3.54e-06,7.430000000000002e-06,-3.890000000000002e-06
Filament,T,6.457152,0.34986,,,,,,,
Filament,tau,0.001151,0.000156,,,,,,,
Filament,Ad,1776.204195,77793.26261,,,,,,,
